iter	Passed	Remaining
0	102	102730
1	103	51733
2	104	34681
3	105	26168
4	105	21049
5	106	17616
6	106	15177
7	107	13346
8	108	11905
9	108	10759
10	109	9823
11	109	9040
12	110	8380
13	110	7817
14	111	7330
15	112	6900
16	112	6519
17	113	6181
18	113	5877
19	114	5602
20	114	5352
21	115	5129
22	116	4933
23	116	4748
24	117	4578
25	117	4418
26	118	4271
27	119	4135
28	119	4005
29	120	3884
30	120	3775
31	121	3672
32	121	3573
33	122	3481
34	123	3395
35	123	3311
36	124	3234
37	124	3161
38	125	3101
39	126	3036
40	127	2976
41	128	2920
42	128	2862
43	129	2809
44	129	2755
45	130	2706
46	131	2659
47	131	2613
48	132	2566
49	132	2523
50	133	2483
51	133	2442
52	134	2405
53	135	2369
54	135	2333
55	136	2299
56	136	2266
57	137	2234
58	138	2203
59	138	2173
60	139	2144
61	139	2116
62	140	2089
63	141	2063
64	141	2038
65	142	2013
66	142	1989
67	143	1966
68	144	1944
69	144	1922
70	145	1900
71	145	1878
72	146	1857
73	146	1838
74	147	1820
75	148	1803
76	148	1785
77	149	1767
78	150	1752
79	150	1736
80	151	1721
81	152	1706
82	152	1687
83	153	1672
84	153	1657
85	154	1642
86	155	1627
87	155	1613
88	156	1600
89	156	1586
90	157	1572
91	158	1560
92	158	1547
93	159	1535
94	159	1523
95	160	1511
96	161	1499
97	161	1488
98	162	1477
99	162	1465
100	163	1454
101	164	1444
102	164	1434
103	165	1423
104	165	1413
105	166	1403
106	167	1393
107	167	1383
108	168	1374
109	168	1364
110	169	1355
111	169	1345
112	170	1336
113	170	1328
114	171	1318
115	172	1311
116	172	1303
117	173	1296
118	174	1289
119	174	1282
120	175	1274
121	175	1266
122	176	1258
123	177	1250
124	177	1243
125	178	1237
126	178	1230
127	179	1223
128	180	1216
129	180	1209
130	181	1202
131	181	1195
132	182	1188
133	182	1182
134	183	1176
135	184	1173
136	185	1167
137	185	1161
138	186	1155
139	187	1149
140	187	1144
141	188	1137
142	188	1132
143	189	1126
144	190	1121
145	190	1116
146	191	1111
147	192	1106
148	192	1100
149	193	1095
150	193	1090
151	194	1085
152	195	1080
153	195	1075
154	196	1070
155	196	1065
156	197	1060
157	198	1055
158	198	1051
159	199	1046
160	199	1040
161	200	1036
162	201	1033
163	202	1030
164	202	1026
165	203	1021
166	203	1016
167	204	1012
168	204	1007
169	205	1002
170	206	998
171	206	995
172	207	993
173	208	989
174	208	985
175	209	980
176	210	976
177	210	972
178	211	968
179	211	964
180	212	961
181	213	957
182	213	953
183	214	949
184	214	946
185	215	942
186	216	939
187	216	935
188	217	932
189	217	929
190	218	926
191	219	922
192	219	919
193	220	915
194	221	912
195	221	909
196	222	905
197	222	902
198	223	899
199	224	897
200	224	894
201	225	891
202	226	887
203	226	884
204	227	881
205	228	878
206	228	875
207	229	874
208	230	873
209	231	870
210	232	868
211	232	864
212	233	861
213	233	859
214	234	856
215	235	853
216	236	852
217	236	849
218	237	846
219	238	844
220	238	841
221	239	838
222	239	836
223	240	833
224	241	831
225	242	828
226	242	826
227	243	823
228	243	821
229	244	818
230	245	815
231	245	813
232	246	811
233	247	809
234	247	806
235	248	804
236	248	801
237	249	798
238	250	796
239	250	793
240	251	791
241	252	789
242	252	787
243	253	784
244	253	782
245	254	779
246	255	777
247	255	775
248	256	773
249	257	771
250	257	769
251	258	767
252	259	765
253	259	763
254	260	761
255	261	758
256	261	756
257	262	754
258	263	752
259	263	751
260	264	749
261	265	747
262	265	745
263	266	744
264	267	742
265	268	739
266	268	737
267	269	735
268	269	733
269	270	731
270	271	729
271	271	727
272	272	725
273	273	723
274	273	721
275	274	719
276	274	717
277	275	715
278	276	713
279	276	711
280	277	709
281	277	707
282	278	705
283	278	703
284	279	701
285	280	699
286	280	697
287	281	696
288	282	694
289	283	693
290	283	691
291	284	689
292	284	687
293	285	685
294	286	683
295	286	681
296	287	681
297	288	679
298	289	678
299	289	676
300	290	674
301	290	672
302	291	670
303	292	668
304	292	666
305	293	665
306	294	664
307	294	662
308	295	660
309	295	658
310	296	656
311	297	655
312	297	653
313	298	651
314	299	650
315	299	648
316	300	646
317	300	644
318	301	643
319	301	641
320	302	639
321	303	638
322	303	636
323	304	635
324	305	633
325	305	632
326	306	630
327	307	628
328	307	627
329	308	625
330	308	623
331	309	622
332	309	620
333	310	619
334	311	617
335	311	616
336	312	614
337	313	613
338	313	611
339	314	610
340	315	608
341	315	607
342	316	605
343	317	604
344	317	603
345	318	602
346	319	601
347	320	599
348	321	598
349	321	597
350	322	596
351	323	594
352	323	593
353	324	591
354	324	590
355	325	588
356	326	587
357	326	586
358	327	584
359	328	583
360	328	582
361	329	580
362	330	579
363	330	577
364	331	576
365	331	574
366	332	573
367	333	572
368	333	570
369	334	569
370	335	568
371	335	566
372	336	565
373	336	563
374	337	562
375	338	561
376	338	560
377	339	558
378	340	557
379	340	555
380	341	554
381	342	553
382	342	552
383	343	550
384	344	549
385	344	548
386	345	547
387	346	546
388	347	545
389	347	543
390	348	542
391	349	541
392	350	540
393	350	539
394	351	538
395	352	537
396	352	535
397	353	534
398	353	532
399	354	531
400	354	530
401	355	528
402	356	527
403	356	526
404	357	525
405	357	523
406	358	522
407	359	521
408	359	519
409	360	518
410	360	517
411	361	516
412	362	514
413	363	513
414	363	512
415	364	511
416	364	509
417	365	508
418	366	507
419	366	506
420	367	505
421	368	504
422	369	503
423	370	502
424	371	502
425	372	501
426	372	500
427	373	499
428	374	498
429	374	496
430	375	495
431	376	494
432	377	494
433	378	493
434	379	492
435	380	491
436	380	490
437	381	489
438	381	488
439	382	486
440	383	485
441	384	484
442	384	483
443	385	482
444	386	481
445	386	480
446	387	479
447	388	478
448	388	477
449	389	476
450	390	475
451	391	474
452	392	473
453	392	472
454	393	471
455	394	470
456	394	469
457	395	468
458	396	466
459	396	465
460	397	464
461	398	463
462	398	462
463	399	461
464	400	460
465	401	459
466	401	458
467	402	457
468	403	457
469	404	456
470	405	455
471	406	455
472	407	454
473	408	452
474	408	451
475	409	450
476	409	449
477	410	448
478	411	447
479	412	446
480	413	445
481	413	444
482	414	443
483	415	442
484	415	441
485	416	440
486	417	439
487	418	438
488	419	437
489	419	436
490	420	435
491	421	434
492	422	434
493	422	433
494	423	431
495	424	430
496	424	429
497	425	428
498	425	427
499	426	426
500	427	425
501	427	424
502	428	423
503	429	422
504	430	421
505	430	420
506	431	419
507	431	418
508	432	417
509	433	416
510	434	416
511	435	415
512	436	414
513	436	413
514	437	412
515	438	411
516	439	410
517	440	409
518	441	408
519	441	407
520	442	406
521	443	405
522	443	404
523	444	404
524	445	403
525	446	401
526	446	400
527	447	399
528	447	398
529	448	397
530	449	396
531	449	395
532	450	394
533	451	393
534	451	392
535	452	391
536	452	390
537	453	389
538	454	388
539	454	387
540	455	386
541	456	385
542	457	384
543	457	383
544	458	382
545	458	381
546	459	380
547	460	379
548	460	378
549	461	377
550	462	376
551	462	375
552	463	374
553	464	373
554	464	372
555	465	371
